category,movieName,director,year,timestamp
i-will-always-love-you,The Time Traveler's Wife,Robert Schwentke,2009,1:33:46
i-will-always-love-you,Little Women,Greta Gerwig,2019,1:46:58
i-will-always-love-you,The Godfather: Part III,Francis Ford Coppola,1990,2:17:02
i-will-always-love-you,Ghost,Jerry Zucker,1990,2:00:33
i-will-always-love-you,Shrek,Andrew Adamson and Vicky Jenson,2001,0:31:52
i-will-always-love-you,I Can Only Imagine,Andrew Erwin and Jon Erwin,2018,0:35:21
i-will-always-love-you,Meet Joe Black,Martin Brest,1998,2:28:29
i-will-always-love-you,Sin City,Frank Miller and Robert Rodriguez,2005,1:56:27
i-will-always-love-you,The Ten Commandments,Cecil B. DeMille,1956,0:58:54
i-will-always-love-you,La La Land,Damien Chazelle,2016,1:42:54
i-will-always-love-you,Detachment,Tony Kaye,2011,1:03:24
i-will-always-love-you,Kramer vs. Kramer,Robert Benton,1979,0:23:41
i-will-always-love-you,The Perfect Storm,Wolfgang Petersen,2000,0:31:21
i-will-always-love-you,The English Patient,Anthony Minghella,1996,2:11:20
i-will-always-love-you,The Man in the Iron Mask,Randall Wallace,1998,1:43:24
i-will-always-love-you,Her,Spike Jonze,2013,1:20:50
i-will-always-love-you,The Prestige,Christopher Nolan,2006,1:27:15
nothing-lasts-forever,The Jungle Book,Jon Favreau,2016,0:11:53
nothing-lasts-forever,The Grandmaster,Wong Kar-wai,2013,1:01:39
nothing-lasts-forever,Whatever Works,Woody Allen,2009,0:59:33
nothing-lasts-forever,Avengers: Age of Ultron,Joss Whedon,2015,2:08:21
nothing-lasts-forever,Turning Red,Domee Shi,2022,1:28:36
nothing-lasts-forever,The Curious Case of Benjamin Button,David Fincher,2008,2:29:27
nothing-lasts-forever,Trainspotting,Danny Boyle,1996,0:38:49
nothing-lasts-forever,Before Sunrise,Richard Linklater,1995,1:16:58
nothing-lasts-forever,A Star Is Born,Bradley Cooper,2018,0:54:20
nothing-lasts-forever,Little Manhattan,Mark Levin,2005,1:11:26
nothing-lasts-forever,Lord of War,Andrew Niccol,2005,0:43:25
what-doesn't-kill-you-makes-you-stronger,Strange Magic,Gary Rydstrom,2015,0:20:24
what-doesn't-kill-you-makes-you-stronger,Demolition,Jean-Marc Vall,2015,0:22:41
what-doesn't-kill-you-makes-you-stronger,X-Men: Days of Future Past,Bryan Singer,2014,1:23:42
what-doesn't-kill-you-makes-you-stronger,Star Wars: Episode III - Revenge of the Sith,George Lucas,2005,1:04:56
what-doesn't-kill-you-makes-you-stronger,The Dark Knight,Christopher Nolan,2008,0:05:36
what-doesn't-kill-you-makes-you-stronger,Dawn of the Planet of the Apes,Matt Reeves,2014,0:42:24
what-doesn't-kill-you-makes-you-stronger,Ice Age: Continental Drift,Steve Martino Michael Thurmeier,2012,1:20:21
what-doesn't-kill-you-makes-you-stronger,Kubo and the Two Strings,Travis Knight,2016,0:35:17
what-doesn't-kill-you-makes-you-stronger,Evangelion: 1.0 You Are (Not) Alone,Hideaki Anno Kazuya Tsurumaki,2007,1:40:50
what-doesn't-kill-you-makes-you-stronger,Dead of Night,"Alberto Cavalcanti, Charles Crichton, Basil Dearden, Robert Hamer",1945,1:33:30
it-is-time-to-move-on,17 Again,Burr Steers,2009,1:27:28
it-is-time-to-move-on,Gone Girl,David Fincher,2014,1:55:27
it-is-time-to-move-on,Annihilation,Alex Garland,2018,0:14:16
it-is-time-to-move-on,Megamind,Tom McGrath,2010,0:01:26
it-is-time-to-move-on,Accepted,Steve Pink,2006,0:22:12
it-is-time-to-move-on,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,1998,0:02:40
it-is-time-to-move-on,The Talented Mr. Ripley,Anthony Minghella,1999,0:48:25
it-is-time-to-move-on,Pearl Harbor,Michael Bay,2001,0:57:13
it-is-time-to-move-on,Wild,Jean-Marc Vall??e,2014,0:39:24
it-is-time-to-move-on,Cafe Society,Woody Allen,2016,1:11:42
it-is-time-to-move-on,Little Miss Sunshine,"Jonathan Dayton, Valerie Faris",2006,0:50:16
it-is-time-to-move-on,Changeling,Clint Eastwood,2008,1:50:08
it-is-time-to-move-on,The Hurricane,Norman Jewison,1999,2:02:33
it-is-time-to-move-on,John Wick,Chad Stahelski,2014,0:27:22
it-is-time-to-move-on,Blade Runner,Ridley Scott,1982,0:59:36
it-is-time-to-move-on,Spider-Man: Far from Home,Jon Watts,2019,0:03:59
have-a-good-day,The Leisure Seeker,Paolo Virz,2017,0:41:30
have-a-good-day,The Breakfast Club,John Hughes,1985,0:03:40
have-a-good-day,The Hours,Stephen Daldry,2002,0:12:13
have-a-good-day,Music and Lyrics,Marc Lawrence,2007,0:05:27
have-a-good-day,Hidden Figures,Theodore Melfi,2016,0:37:33
have-a-good-day,Scent of a Woman,Martin Brest,1992,0:04:13
have-a-good-day,The World to Come,Mona Fastvold,2020,0:28:05
have-a-good-day,Room,Lenny Abrahamson,2015,1:37:46
have-a-good-day,Orphan,Jaume Collet-Serra,2009,1:15:05
have-a-good-day,The Young and Prodigious T.S. Spivet,Jean-Pierre Jeunet,2013,0:12:20
have-a-good-day,Bicentennial Man,Chris Columbus,1999,0:09:34
have-a-good-day,American Sniper,Clint Eastwood,2014,1:14:51
have-a-good-day,Borat 2,Jason Woliner,2020,0:08:17
have-a-good-day,The Green Mile,Frank Darabont,1999,1:54:55
everything-happens-for-a-reason,Coherence,James Ward Byrkit,2013,0:53:55
everything-happens-for-a-reason,The Matrix Reloaded,"Lana Wachowski, Lilly Wachowski",2003,0:51:28
everything-happens-for-a-reason,A Cure for Wellness,Gore Verbinski,2016,1:08:57
everything-happens-for-a-reason,Crazy Heart,Scott Cooper,2009,0:49:12
everything-happens-for-a-reason,Ali Wong: Baby Cobra,Jay Karas,2016,0:51:08
everything-happens-for-a-reason,My Blueberry Nights,Wong Kar-wai,2007,0:06:53
